Name,Note,Manufacturer,Price/g,IFRA (%),IFRA Code,Description
2-Ethyl-4-methyl Thiazole / Pistacio Thiazole,,Manufacturer,0.5,0,n/a,
2-tert-butyl-5-methyl Anisole,,Manufacturer,0.98,0,n/a,
3-Ethyl Pyridine,,Manufacturer,0.62,0,n/a,
Adoxal (Givaudan),Middle,Givaudan,0.88,0,141-13-9,"Marine, fresh, aldehydic, floral. Ozonic aspect."
Aldehyde C10 - Decanal,Top,Perfumers Apprentice,0.75,0,112-31-2,"Sweet, aldehydic, orange, waxy and citrus rind."
Aldehyde C11,Middle,Perfumers Apprentice,0.75,0,112-45-8,"Citrus, waxy, fatty and aldehydic with a green, soapy nuance."
Aldehyde C12 Lauric,Base,Manufacturer,0,0,112-54-9,"Soapy, waxy, aldehydic, citrus, orange rindy with floral nuances."
Aldehyde C12 MNA,Middle,Perfumers Apprentice,0.75,0,110-41-8,fresh amber aldehydic moss citrus tuberose metallic waxy coumarinic.
Aldehyde C14 - gamma Undecalactone,Base,Manufacturer,0.19,0,104-67-6,"Creamy, fatty, fruity, coconut, peach, Iactonic, ketonic and fruity."
Aldehyde C16 - Strawberry Glycidate,Base,Manufacturer,0.19,0,77-83-8,"Sweet, fruity strawberry-like with floral honey undertones."
Aldehyde C18 - gamma Nonalactone,Base,Manufacturer,0.13,0,104-61-0,"Sweet, creamy, coconut, fatty with oily buttery nuances."
Allyl amyl glycolate,Base,Manufacturer,0.07,0,67634-00-8,fruity green galbanum pineapple fusel.
Almond Pyrazine 1% in ACM,,Manufacturer,0.24,0,n/a,
Alpha Amyl Cinnamal,,Manufacturer,0.1,0,n/a,
Alpha Methyl Ionone ISO SUPER,,Manufacturer,0.2,0,n/a,
Alpha Pinene (Natural),Top,Perfumers Apprentice,0.75,0,80-56-8,"Herbal, sweet, piney, earthy."
Amber Core,,Manufacturer,0.08,0,n/a,
Ambergris T Oliffac (IFF),Base,IFF,1.38,0,n/a,Beautiful reconstruction of Ambergris by IFF (mixture).
Ambermax 50 (GIV),Base,Givaudan,1.6,0,929625-08-1,Amber woody cedarwood ambergris.
Ambrarome,,Manufacturer,0,0,n/a,
Ambrettolide,,Manufacturer,1.07,0,7779-50-2,"Sweet, soapy, perfume-like with a heavy fruity undertone."
Ambrinol 95,,Manufacturer,3.36,0,n/a,
Ambrofix,,Manufacturer,1.18,0,6790-58-5,
Amyl Salicylate,Base,Manufacturer,0,0,2050-08-0,Herbal floral clover azalea green sweet chocolate.
Amyris Oil,,Manufacturer,0.34,0,n/a,
Animalis 1745-03,,Manufacturer,0.09,0,n/a,
Anisaldehyde,Base,Manufacturer,0.11,0,123-11-5,"Sweet, powdery, vanilla, anise, woody, coumarin and creamy with a spicy nuance."
Anisyl Acetate,Middle,Perfumers Apprentice,0.2,0,104-21-2,"Herbal, Anis, Floral, Fruity, Sweet, Slightly Balsamic."
Anisyl Acetone,Middle,Perfumers Apprentice,0.43,0,104-20-1,"Sweet dried raspberry, rose, cherry, fruity, cassie absolute."
Aphermate,,Manufacturer,0.57,0,n/a,
Appleide / Edenolide,,Manufacturer,0.23,0,n/a,
Aquanal,,Manufacturer,0.38,0,n/a,
Aurantiol,Base,Manufacturer,0.17,0,89-43-0,Floral lily orange blossom sweet.
Benzaldehyde Diethyl Acetal,Top,Perfumers Apprentice,0.2,0.25,100-52-7,"(50% Benzaldehyde - 50% Benzyl Benzoate) Strong, sharp, sweet, bitter almond, cherry."
Benzoin Resinoid (Sumatra),Base,Perfumers Apprentice,0.94,0,9000-05-09,"Sweet, spicy, vanilla, balsam, resinous."
Benzyl Acetate,Middle,Manufacturer,0.05,0,140-11-4,"Sweet, fruity and floral."
Benzyl Acetone,,Manufacturer,0.62,0,n/a,
Benzyl Benzoate,Base,Manufacturer,0,4.8,120-51-4,"Faintly sweet, balsamic."
Benzyl Butyrate,,Manufacturer,0.2,0,n/a,
Benzyl Salicylate,Base,Manufacturer,0.08,7.3,118-58-1,Balsam clean herbal oily sweet.
Bergamal (IFF),Top,IFF,0.94,0,22418-66-2,"Refreshing, aldehydic, lemon, citronella, verbena note with citrus-orange."
